CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
1,0,6,1,0,2,3,0,0,0,0,7,6,1,0,0,0,3,1,0,0,0,0,0,1,0,1,0,1,2,2,5,0,0,0,0,1
1,2,13,1,0,9,7,0,0,0,3,14,9,3,0,0,1,6,1,5,0,0,0,0,3,0,4,0,0,0,7,6,0,1,0,0,1
1,2,13,1,0,8,1,0,0,0,1,15,3,2,0,1,0,12,1,6,0,0,0,0,2,0,4,0,0,2,2,13,0,0,0,0,1
1,3,9,1,0,7,1,0,0,0,0,13,4,2,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,1,1
0,1,11,1,0,16,7,0,0,0,1,10,8,18,3,0,4,8,0,3,0,0,0,0,3,0,4,0,1,0,4,9,0,0,0,0,1
0,0,13,0,0,5,1,0,0,0,0,16,2,0,0,0,0,5,0,0,0,0,1,0,1,0,2,1,1,1,1,7,0,0,0,0,1
1,1,7,0,0,7,2,0,0,0,1,9,6,5,1,0,0,6,1,1,0,0,0,0,1,0,3,0,0,0,8,1,0,0,0,0,1
0,0,12,1,0,5,1,0,0,0,0,12,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1
0,1,7,2,0,3,0,0,0,0,0,9,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,6,0,0,0,0,1
1,4,5,0,0,5,1,0,0,0,1,4,2,8,0,0,0,3,0,2,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,1
1,1,25,0,0,7,2,0,0,0,0,25,2,0,0,0,0,6,0,8,1,0,0,0,2,0,2,1,0,0,0,15,0,0,0,0,1
0,1,14,0,0,11,8,0,0,0,0,17,5,5,0,0,1,6,1,2,1,0,3,0,3,0,2,0,0,2,4,13,0,0,0,0,1
0,0,12,0,0,8,4,0,0,0,0,21,3,0,0,0,0,10,5,3,1,0,0,0,1,0,0,0,1,0,4,12,0,0,0,0,1
1,2,8,1,0,8,0,0,1,0,0,10,4,10,0,0,1,5,0,0,0,0,0,0,2,0,1,0,0,0,1,8,0,0,0,0,1
1,3,11,2,0,8,3,0,0,0,2,16,3,1,0,0,1,5,0,5,0,0,0,0,2,0,3,0,1,0,2,7,0,0,0,0,1
